PROVINSI JAWA TENGAH;X1;X2;X3;X4;X5;X6;X7;X8
Kabupaten Cilacap;11.67;1.48;0.30;70.42;87.00;93.37;0.49;9.74
Kabupaten Banyumas;13.66;2.35;0.57;72.44;88.54;91.49;0.46;11.03
Kabupaten Purbalingga;16.24;2.10;0.41;69.15;93.08;85.18;0.22;10.84
Kabupaten Banjarnegara;16.23;2.97;0.79;67.86;95.32;82.61;0.22;23.58
Kabupaten Kebumen;17.83;3.24;0.88;70.05;93.06;86.36;0.30;21.33
Kabupaten Purworejo;12.40;1.36;0.28;72.98;95.33;85.99;0.15;34.70
Kabupaten Wonosobo;17.67;2.75;0.65;68.43;92.78;95.64;0.18;37.13
Kabupaten Magelang;11.91;1.63;0.35;70.12;91.89;94.14;0.25;29.64
Kabupaten Boyolali;10.62;1.76;0.38;74.40;94.22;93.42;0.19;16.80
Kabupaten Klaten;13.49;1.79;0.38;76.12;96.00;97.84;0.31;6.11
Kabupaten Sukoharjo;8.23;0.91;0.21;77.13;96.52;98.01;0.22;4.66
Kabupaten Wonogiri;11.55;1.57;0.34;70.49;91.07;98.82;0.21;30.01
Kabupaten Karanganyar;10.68;1.61;0.37;75.99;96.63;98.65;0.19;13.21
Kabupaten Sragen;13.83;2.39;0.60;74.08;91.68;98.33;0.20;10.92
Kabupaten Grobogan;12.74;1.66;0.37;70.41;85.89;76.14;0.29;8.96
Kabupaten Blora;12.39;1.82;0.40;69.37;84.59;94.84;0.20;15.49
Kabupaten Rembang;15.80;2.77;0.68;70.43;87.32;95.36;0.15;11.64
Kabupaten Pati;10.21;1.69;0.42;72.28;92.21;99.72;0.31;8.30
Kabupaten Kudus;7.60;1.23;0.27;75.16;92.96;98.90;0.18;2.34
Kabupaten Jepara;7.44;0.88;0.17;72.36;91.28;81.48;0.30;10.27
Kabupaten Demak;12.92;2.31;0.61;72.57;91.16;96.71;0.30;2.18
Kabupaten Semarang;7.82;0.95;0.18;74.24;96.61;98.25;0.22;14.22
Kabupaten Temanggung;10.17;1.57;0.39;69.88;95.74;91.87;0.16;40.86
Kabupaten Kendal;10.24;1.51;0.33;72.50;93.30;92.65;0.23;14.21
Kabupaten Batang;9.68;1.76;0.48;68.92;91.86;98.38;0.17;19.92
Kabupaten Pekalongan;10.57;1.75;0.39;70.11;92.56;96.20;0.19;9.50
Kabupaten Pemalang;16.56;2.92;0.77;66.56;86.49;95.14;0.33;8.85
Kabupaten Tegal;8.60;1.00;0.19;68.79;87.53;98.87;0.36;4.55
Kabupaten Brebes;17.43;3.04;0.74;66.32;86.65;92.60;0.50;8.32
Kota Magelang;7.75;0.85;0.15;79.43;95.54;100.00;0.03;1.85
Kota Surakarta;9.40;1.83;0.54;82.62;96.89;99.82;0.14;0.31
Kota Salatiga;5.14;0.80;0.19;83.60;95.37;98.78;0.05;1.04
Kota Semarang;4.56;0.67;0.14;83.55;95.67;98.42;0.46;0.46
Kota Pekalongan;7.59;1.51;0.41;75.40;95.42;99.28;0.06;1.53
Kota Tegal;8.12;1.04;0.24;75.52;93.26;100.00;0.06;0.26
